UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2021,9,16,A Dance with Dragons: A Song of Ice and Fire: Book Five (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,AUDIOBOOK,2021,9,19,A Storm of Swords: A Song of Ice and Fire: Book Three (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2021,9,3,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2021,9,11,A Feast for Crows: A Song of Ice and Fire: Book Four (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2013
Digital,OverDrive,AUDIOBOOK,2021,9,79,A Game of Thrones: A Song of Ice and Fire: Book One (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2021,9,12,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2021,9,11,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,9,18,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2021,10,6,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2021,10,19,A Storm of Swords: A Song of Ice and Fire: Book Three (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2009
Digital,OverDrive,EBOOK,2021,10,45,A Game of Thrones: A Song of Ice and Fire: Book One,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2021,10,33,A Clash of Kings: A Song of Ice and Fire: Book Two (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2021,10,10,A Feast for Crows: A Song of Ice and Fire: Book Four,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Physical,Horizon,BOOK,2021,10,2,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,AUDIOBOOK,2021,10,14,A Feast for Crows: A Song of Ice and Fire: Book Four (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2013
Digital,OverDrive,EBOOK,2021,10,13,A Dance with Dragons: A Song of Ice and Fire: Book Five,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,10,23,A Storm of Swords: A Song of Ice and Fire: Book Three,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2021,10,8,A Game of Thrones: the Illustrated Edition: A Song of Ice and Fire: Book One,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2021,10,91,A Game of Thrones: A Song of Ice and Fire: Book One (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2021,10,23,A Clash of Kings: A Song of Ice and Fire: Book Two,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2021,10,18,A Dance with Dragons: A Song of Ice and Fire: Book Five (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,AUDIOBOOK,2021,11,19,A Dance with Dragons: A Song of Ice and Fire: Book Five (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,AUDIOBOOK,2021,11,25,A Clash of Kings: A Song of Ice and Fire: Book Two (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2021,11,11,A Dance with Dragons: A Song of Ice and Fire: Book Five,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,11,17,A Clash of Kings: A Song of Ice and Fire: Book Two,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2021,11,12,A Feast for Crows: A Song of Ice and Fire: Book Four (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2013
Digital,OverDrive,EBOOK,2021,11,33,A Game of Thrones: A Song of Ice and Fire: Book One,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,11,9,A Game of Thrones: the Illustrated Edition: A Song of Ice and Fire: Book One,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2016
Digital,OverDrive,AUDIOBOOK,2021,11,81,A Game of Thrones: A Song of Ice and Fire: Book One (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2021,11,6,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2021,11,16,A Storm of Swords: A Song of Ice and Fire: Book Three (unabridged),,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2009
Digital,OverDrive,EBOOK,2021,11,19,A Storm of Swords: A Song of Ice and Fire: Book Three,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2021,11,11,A Feast for Crows: A Song of Ice and Fire: Book Four,,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2021,12,13,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Physical,Horizon,BOOK,2021,12,1,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,EBOOK,2021,12,13,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2021,12,4,"Fire & Blood: A Song of Ice and Fire Series, Book 0",,George R. R. Martin,"Fantasy, Fiction, Thriller","Random House, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2021,12,31,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2021,12,13,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2013
Digital,OverDrive,AUDIOBOOK,2021,12,20,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2021,12,9,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2021,12,17,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2021,12,32,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2021,12,14,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2021,12,14,"Fire & Blood: A Song of Ice and Fire Series, Book 0 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Thriller",Books on Tape,2018
Digital,OverDrive,AUDIOBOOK,2021,12,80,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2021,12,9,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2022,1,83,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2022,1,13,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2013
Digital,OverDrive,AUDIOBOOK,2022,1,31,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2022,1,6,"Fire & Blood: A Song of Ice and Fire Series, Book 0",,George R. R. Martin,"Fantasy, Fiction, Thriller","Random House, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2022,1,17,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2009
Digital,OverDrive,EBOOK,2022,1,12,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2022,1,23,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2022,1,11,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2022,1,14,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2022,1,10,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2022,1,45,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2022,1,8,"Fire & Blood: A Song of Ice and Fire Series, Book 0 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Thriller",Books on Tape,2018
Digital,OverDrive,AUDIOBOOK,2022,1,7,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,EBOOK,2022,2,11,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2022,2,7,"Fire & Blood: A Song of Ice and Fire Series, Book 0 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Thriller",Books on Tape,2018
Digital,OverDrive,AUDIOBOOK,2022,2,6,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2022,2,25,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2022,2,3,"Fire & Blood: A Song of Ice and Fire Series, Book 0",,George R. R. Martin,"Fantasy, Fiction, Thriller","Random House, Inc.",2018
Digital,OverDrive,EBOOK,2022,2,20,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2022,2,16,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2022,2,11,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2022,2,72,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2022,2,10,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2022,2,8,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2022,2,14,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2013
